,Date,Open,High,Low,Close,Adj Close,Volume
243,2021-11-24,1080.390015,1132.77002,1062.0,1116.0,1116.0,22560200
244,2021-11-26,1099.469971,1108.780029,1081.0,1081.920044,1081.920044,11680900
245,2021-11-29,1100.98999,1142.670044,1100.189941,1136.98999,1136.98999,19464500
246,2021-11-30,1144.369995,1168.0,1118.0,1144.76001,1144.76001,27092000
247,2021-12-01,1160.699951,1172.839966,1090.76001,1095.0,1095.0,22816800
248,2021-12-02,1099.060059,1113.0,1056.650024,1084.599976,1084.599976,24371600
249,2021-12-03,1084.790039,1090.579956,1000.210022,1014.969971,1014.969971,30696300
250,2021-12-06,1001.51001,1021.640015,950.5,1009.01001,1009.01001,27221000
251,2021-12-07,1044.199951,1057.670044,1026.810059,1051.75,1051.75,18694900
252,2021-12-08,1052.709961,1072.380005,1033.0,1068.959961,1068.959961,13968800
253,2021-12-09,1060.640015,1062.48999,1002.359985,1003.799988,1003.799988,19812800
254,2021-12-10,1008.75,1020.97998,982.530029,1017.030029,1017.030029,19855000
255,2021-12-13,1001.090027,1005.0,951.419983,966.409973,966.409973,26198500
256,2021-12-14,945.0,966.409973,930.0,958.51001,958.51001,23602100
257,2021-12-15,953.210022,978.75,928.25,975.98999,975.98999,25056400
258,2021-12-16,994.5,994.97998,921.849976,926.919983,926.919983,27590500
259,2021-12-17,914.77002,960.659973,909.039978,932.570007,932.570007,33479100
260,2021-12-20,910.700012,921.690002,893.390015,899.940002,899.940002,18826700
261,2021-12-21,916.869995,939.5,886.119995,938.530029,938.530029,23839300
262,2021-12-22,965.659973,1015.659973,957.049988,1008.869995,1008.869995,31211400
263,2021-12-23,1006.799988,1072.97998,997.559998,1067.0,1067.0,30904400
